date time,wheel,vl,wheel,vr,sonar,X

2019-07-05 16:30:30.759573 ,Left,240 ,Right,315 ,s,339
2019-07-05 16:30:31.321323 ,Left,210 ,Right,300 ,s,154
2019-07-05 16:30:31.861910 ,Left,195 ,Right,420 ,s,122
2019-07-05 16:30:32.418199 ,Left,195 ,Right,135 ,s,117
2019-07-05 16:30:32.959150 ,Left,105 ,Right,345 ,s,113
2019-07-05 16:30:33.550379 ,Left,135 ,Right,330 ,s,98
2019-07-05 16:30:34.080741 ,Left,90 ,Right,225 ,s,85
2019-07-05 16:30:34.608856 ,Left,225 ,Right,90 ,s,72
2019-07-05 16:30:35.138139 ,Left,165 ,Right,195 ,s,59
2019-07-05 16:30:35.667525 ,Left,225 ,Right,75 ,s,47
2019-07-05 16:30:36.194941 ,Left,225 ,Right,585 ,s,35
2019-07-05 16:30:36.723058 ,Left,330 ,Right,630 ,s,23
2019-07-05 16:30:37.296617 ,Left,390 ,Right,135 ,s,218
2019-07-05 16:30:37.831921 ,Left,135 ,Right,375 ,s,121
2019-07-05 16:30:38.389329 ,Left,345 ,Right,675 ,s,111
2019-07-05 16:30:38.920784 ,Left,165 ,Right,150 ,s,100
2019-07-05 16:30:39.517390 ,Left,135 ,Right,255 ,s,81
2019-07-05 16:30:40.050534 ,Left,225 ,Right,345 ,s,77
2019-07-05 16:30:40.591872 ,Left,75 ,Right,75 ,s,59
2019-07-05 16:30:41.121444 ,Left,210 ,Right,375 ,s,55
2019-07-05 16:30:41.657894 ,Left,165 ,Right,360 ,s,121
2019-07-05 16:30:42.191031 ,Left,105 ,Right,165 ,s,108
2019-07-05 16:30:42.721998 ,Left,300 ,Right,450 ,s,92
2019-07-05 16:30:43.275242 ,Left,180 ,Right,165 ,s,85
2019-07-05 16:30:43.808756 ,Left,105 ,Right,105 ,s,68
2019-07-05 16:30:44.381822 ,Left,210 ,Right,165 ,s,50
2019-07-05 16:30:44.911211 ,Left,255 ,Right,540 ,s,40
2019-07-05 16:30:45.511143 ,Left,435 ,Right,600 ,s,211
2019-07-05 16:30:46.041036 ,Left,195 ,Right,105 ,s,77
2019-07-05 16:30:46.592639 ,Left,90 ,Right,165 ,s,67
2019-07-05 16:30:47.121180 ,Left,135 ,Right,420 ,s,55
2019-07-05 16:30:47.650399 ,Left,255 ,Right,105 ,s,44
2019-07-05 16:30:48.183197 ,Left,120 ,Right,690 ,s,128
2019-07-05 16:30:48.721695 ,Left,135 ,Right,120 ,s,95
2019-07-05 16:30:49.260664 ,Left,60 ,Right,90 ,s,98
2019-07-05 16:30:49.981956 ,Left,150 ,Right,150 ,s,84
2019-07-05 16:30:50.580146 ,Left,345 ,Right,315 ,s,71
2019-07-05 16:30:51.111986 ,Left,285 ,Right,225 ,s,60
2019-07-05 16:30:51.658458 ,Left,240 ,Right,180 ,s,52
2019-07-05 16:30:52.201509 ,Left,105 ,Right,135 ,s,178
2019-07-05 16:30:52.750185 ,Left,210 ,Right,195 ,s,99
2019-07-05 16:30:53.283492 ,Left,135 ,Right,150 ,s,86
2019-07-05 16:30:53.814970 ,Left,150 ,Right,135 ,s,67
2019-07-05 16:30:54.349312 ,Left,180 ,Right,210 ,s,64
2019-07-05 16:30:54.880456 ,Left,120 ,Right,195 ,s,53
2019-07-05 16:30:55.408413 ,Left,150 ,Right,240 ,s,41
2019-07-05 16:30:55.940113 ,Left,165 ,Right,450 ,s,31
2019-07-05 16:30:56.500205 ,Left,0 ,Right,270 ,s,313
2019-07-05 16:30:57.041007 ,Left,150 ,Right,570 ,s,118
2019-07-05 16:30:57.618858 ,Left,105 ,Right,405 ,s,106
2019-07-05 16:30:58.152346 ,Left,165 ,Right,135 ,s,91
2019-07-05 16:30:58.717354 ,Left,135 ,Right,270 ,s,77
2019-07-05 16:30:59.246237 ,Left,210 ,Right,585 ,s,63
2019-07-05 16:30:59.777536 ,Left,270 ,Right,105 ,s,48
2019-07-05 16:31:00.316336 ,Left,210 ,Right,465 ,s,217
2019-07-05 16:31:00.849296 ,Left,180 ,Right,645 ,s,78
2019-07-05 16:31:01.380751 ,Left,390 ,Right,90 ,s,70
2019-07-05 16:31:01.910121 ,Left,165 ,Right,555 ,s,55
2019-07-05 16:31:02.438978 ,Left,270 ,Right,765 ,s,46
2019-07-05 16:31:02.974811 ,Left,375 ,Right,120 ,s,127
2019-07-05 16:31:03.601116 ,Left,90 ,Right,330 ,s,103
2019-07-05 16:31:04.133352 ,Left,135 ,Right,135 ,s,93
2019-07-05 16:31:04.698557 ,Left,270 ,Right,195 ,s,81
2019-07-05 16:31:05.230956 ,Left,240 ,Right,510 ,s,71
2019-07-05 16:31:05.762654 ,Left,255 ,Right,225 ,s,60
